,Date,Temperature,Humidity,Hours Since Previous Failure,Failure,Operator_Operator1,Operator_Operator2,Operator_Operator3,Operator_Operator4,Operator_Operator5,Operator_Operator6,Operator_Operator7,Operator_Operator8,Measure2_0,Measure2_1,Measure2_2,Measure2_3,Measure3_0,Measure3_1,Measure3_2,0,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
0,2016-01-01 00:00:00,67,82,90,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,2016-01-01 01:00:00,68,77,91,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,640.0026999865001,1007.5045374773127,647.0027349863251,368.50134249328767,596.5024824875877,312.00105999470014,509.5020474897627,172.50036249818749,251.50075749621254,411.5015574922125,773.0033649831752,409.50154749226266,424.0016199919001
2,2016-01-01 02:00:00,64,76,92,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,895.339388825171,842.0002666520779,957.0069899274673,619.3384088379374,1047.0091632411898,835.3427621313934,773.3390954963153,206.00079999156674,810.009813239723,648.6716577270413,754.3352655285485,779.0071899287674,845.6747743644528
3,2016-01-01 03:00:00,63,80,93,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,809.0015199445511,1070.0081798670274,1176.262916019335,817.7607510632096,1073.0077823370657,862.7580310849843,908.0090348344528,528.0118698176278,1046.2656284698983,845.0106148152032,691.2492412459566,918.2602660605597,812.0049023867397
4,2016-01-01 04:00:00,65,81,94,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1032.8146436419934,1121.2096157278834,1157.4092016853608,700.8015838759277,1146.6106416791167,1037.416903541084,933.0087277261476,732.2217474421304,997.4095716528616,1039.820179467658,876.2104897617421,1036.0152775698316,751.0002619310823
5,2016-01-01 05:00:00,67,84,95,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,927.0025047721181,1251.186592876078,1264.684167076751,776.1748949406333,1136.3412601541227,1122.3552046787318,1111.690316919456,689.6808904322394,1034.0113311293908,1138.5258631403292,950.8489158225703,1172.3585612512793,915.6819789251629
6,2016-01-01 06:00:00,67,83,96,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,915.5720898175827,1336.5996099844162,1247.0127034517018,895.1653760824248,1114.289642480493,1127.5908559578909,1048.8692491516879,752.3060459712186,981.0028224617807,1135.0217129438993,1077.6012599947717,1046.2909522118223,955.1611133509905
7,2016-01-01 07:00:00,67,76,97,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,928.7528847083096,1192.6244687795693,1112.362557068819,902.2709472661176,1122.879940132852,1152.7714045634975,971.1219903116316,863.0371637920198,964.6246041134576,1040.5024616943256,1134.0359763393026,1009.8732115207164,941.2635426567683
8,2016-01-01 08:00:00,65,80,98,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1017.9116565366825,1218.3386880039666,1119.4349866804594,937.9155857900383,1067.1028632015466,1096.561844694408,904.204383350189,793.6839856522294,990.338808297348,1140.9138303734178,1183.9321743831658,1078.7918050373578,862.9943020326422
9,2016-01-01 09:00:00,63,80,99,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,957.603309223765,1197.2988250125054,1116.090535188659,1020.0474263151434,1155.0176235212368,1168.3261056381273,989.208162325548,858.5340626708229,925.3864227364136,1136.5211958882699,1247.4570549843575,1018.0953322986546,825.7842708080328
10,2016-01-01 10:00:00,61,83,100,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,918.2619722734206,1143.2527513336815,1162.8259276048468,1085.5205657611318,1102.997822496451,1120.8252962782947,928.2588247251688,865.3060624898883,1013.2001964570036,1157.8449108104367,1307.1636653396465,1069.7410973941674,850.903579517494
11,2016-01-01 11:00:00,62,81,101,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,985.0182752474627,1121.305772648685,1113.819780325195,1138.5828813719313,1090.4093653007653,1101.5817448558957,906.6448135844901,858.3609636503357,1072.125013555138,1114.7563421875477,1333.2443514251665,1067.7618384658997,926.6101872672052
12,2016-01-01 12:00:00,62,76,102,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,995.0988296601092,1080.2617424992854,1040.8741164396263,1145.8493676211674,1111.3113970630077,1041.583938192616,927.3748018184973,920.74898709694,1081.735584022233,1042.9699836025848,1356.9296981185246,1065.0865140662463,965.1209546610293
13,2016-01-01 13:00:00,60,82,103,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,944.1334059459509,1103.5423701246993,1089.9117742262379,1131.4945928020688,1148.453723969822,1018.1713991201607,937.7112155082764,930.0580727183074,1137.1440040159232,1008.3804789598743,1353.5041457665925,1108.1769525798532,999.9898413184526
14,2016-01-01 14:00:00,61,79,104,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,923.643992710574,1084.6934684229857,1051.2915449079262,1080.8940757373264,1135.2812364873187,1027.0326302341184,955.2089646570662,900.9011549541783,1112.6511775452757,1059.923294993035,1359.0743020169682,1166.2043879392704,1060.7649417845266
15,2016-01-01 15:00:00,64,77,105,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,980.3976850061186,1096.7219397527224,1086.9884618738704,1054.6929096152846,1107.304498072366,1057.9920613442357,937.4946889963992,883.7690681626871,1139.693916929608,1094.705018985764,1326.1066327523745,1163.7522150855443,1094.3056019526994
16,2016-01-01 16:00:00,60,80,106,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1018.1722030352797,1081.9606145327755,1109.067372403088,1087.8577741184536,1083.0299539630805,1078.186750889614,906.3205392023323,918.9312084403076,1174.742731190863,1103.6714291305402,1331.9290077606308,1148.4003545643018,1040.0045983946145
17,2016-01-01 17:00:00,64,85,107,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1066.3770474700107,1049.7642469784423,1079.0338827502123,1128.5170577520605,1078.5238267495542,1122.9985375591552,865.4288969107163,903.697719926302,1216.0201294224166,1119.7055641150419,1288.6678814657942,1179.2976037872747,1008.1394486812367
18,2016-01-01 18:00:00,62,82,108,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1042.6466876774468,1027.8576351182105,1112.911757705155,1086.706656028054,1090.1407129703582,1155.1395053527576,903.5538473456168,954.190652512298,1248.5814794195974,1131.3655645816334,1300.4352474002335,1145.7184027206,1031.3683844360921
19,2016-01-01 19:00:00,60,75,109,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1038.7595599861588,985.2121662443983,1130.0873494408859,1069.6502906264236,1125.6274368250315,1168.7993743868096,918.4945787411453,999.6371610316118,1266.5745931749918,1137.4547951241263,1246.6471576878316,1166.608242330858,1005.0174712914172
20,2016-01-01 20:00:00,60,82,110,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1048.2601623411224,946.3871866191572,1152.2562937698958,1073.6247470425262,1141.8101142608282,1189.5038432483555,906.2638639391994,984.1571280805133,1217.861721505892,1127.6578667984352,1254.9133330777079,1181.1705754189418,992.4280340801338
21,2016-01-01 21:00:00,67,78,111,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1060.9492167253368,960.117485897903,1153.7468832478266,1112.0631833832058,1144.4590884116244,1225.1253617648856,892.3218352070163,1029.8549978287938,1208.7179072262325,1110.2381591486985,1274.219001135041,1152.3923179622236,1004.4266024864354
22,2016-01-01 22:00:00,63,79,112,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1042.2684899015474,963.4657173142737,1127.148872948302,1071.5154068486086,1139.996997873626,1240.5801426924984,904.937311473941,1044.4070036647008,1164.4834197505882,1129.084925650384,1258.1395235898644,1189.6975594205699,1027.0540099402972
23,2016-01-01 23:00:00,66,85,113,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1034.702033984252,1005.1462412484293,1138.1624689828345,1093.4917716728467,1111.6127634647748,1238.2601327459922,883.5264332914643,1051.6530713901816,1160.9569377258722,1093.2252557062197,1265.3550146843747,1179.1077906156129,1038.906399828062
24,2016-01-02 00:00:00,67,75,114,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1005.1762206989893,992.0347546629544,1101.003312795578,1108.7419194732176,1140.2442361447659,1198.4518902404739,896.1300197965414,1078.4393237874897,1187.530619830316,1063.6383941842478,1232.9574670589166,1195.4955219793894,1049.4106828963297
25,2016-01-02 01:00:00,67,82,115,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,979.268377842354,1008.0288556681604,1108.8660040848806,1129.1797787736598,1150.4873217467034,1211.577714453058,933.2035959336323,1047.2794607711658,1178.3754224539439,1042.8004440642278,1195.7263459747287,1159.8239349615872,1059.1848343395498
26,2016-01-02 02:00:00,69,82,116,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,987.3139010686683,983.3416178245025,1085.1871071152057,1110.5749553956032,1127.0080925193174,1189.5428898127425,907.1734773874988,1019.4646673200743,1154.9745912685346,1070.6122712836143,1164.0713915480055,1128.0911137208525,1074.2495272920944
