,0,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,640.0026999865001,1007.5045374773127,647.0027349863251,368.50134249328755,596.5024824875876,312.0010599947001,509.5020474897626,172.5003624981875,251.50075749621254,411.50155749221256,773.0033649831752,409.5015474922626,424.0016199919001
2,895.339388825171,842.000266652078,957.0069899274674,619.3384088379375,1047.0091632411898,835.3427621313934,773.3390954963154,206.00079999156674,810.0098132397231,648.6716577270413,754.3352655285485,779.0071899287674,845.6747743644527
3,809.0015199445511,1070.0081798670274,1176.2629160193353,817.7607510632095,1073.0077823370655,862.7580310849842,908.0090348344529,528.0118698176279,1046.2656284698985,845.0106148152032,691.2492412459565,918.2602660605596,812.0049023867396
4,1032.8146436419934,1121.2096157278834,1157.4092016853608,700.8015838759278,1146.6106416791167,1037.4169035410841,933.0087277261475,732.2217474421304,997.4095716528617,1039.820179467658,876.2104897617421,1036.0152775698316,751.0002619310823
5,927.002504772118,1251.186592876078,1264.684167076751,776.1748949406332,1136.3412601541227,1122.3552046787315,1111.690316919456,689.6808904322394,1034.0113311293908,1138.5258631403292,950.8489158225705,1172.3585612512793,915.6819789251629
6,915.5720898175829,1336.5996099844162,1247.0127034517018,895.1653760824248,1114.289642480493,1127.590855957891,1048.869249151688,752.3060459712185,981.0028224617806,1135.0217129438993,1077.6012599947717,1046.2909522118225,955.1611133509903
7,928.7528847083096,1192.6244687795693,1112.3625570688187,902.2709472661177,1122.879940132852,1152.7714045634975,971.1219903116316,863.0371637920197,964.6246041134576,1040.5024616943256,1134.0359763393024,1009.8732115207164,941.2635426567683
8,1017.9116565366825,1218.3386880039666,1119.4349866804594,937.9155857900383,1067.1028632015466,1096.5618446944081,904.204383350189,793.6839856522292,990.3388082973481,1140.9138303734178,1183.9321743831658,1078.7918050373578,862.9943020326423
9,957.603309223765,1197.2988250125056,1116.090535188659,1020.0474263151434,1155.0176235212368,1168.3261056381273,989.208162325548,858.5340626708229,925.3864227364135,1136.52119588827,1247.4570549843575,1018.0953322986546,825.7842708080329
10,918.2619722734206,1143.2527513336815,1162.8259276048468,1085.5205657611318,1102.997822496451,1120.8252962782947,928.2588247251688,865.3060624898882,1013.2001964570036,1157.8449108104364,1307.1636653396463,1069.7410973941674,850.9035795174941
11,985.0182752474627,1121.305772648685,1113.819780325195,1138.5828813719313,1090.4093653007653,1101.5817448558955,906.64481358449,858.3609636503356,1072.1250135551381,1114.7563421875477,1333.2443514251663,1067.7618384658997,926.6101872672051
12,995.0988296601091,1080.2617424992854,1040.8741164396265,1145.8493676211674,1111.3113970630075,1041.583938192616,927.3748018184971,920.7489870969401,1081.735584022233,1042.9699836025848,1356.9296981185246,1065.0865140662465,965.1209546610293
13,944.133405945951,1103.5423701246993,1089.9117742262379,1131.494592802069,1148.453723969822,1018.1713991201609,937.7112155082764,930.0580727183074,1137.1440040159232,1008.3804789598742,1353.5041457665923,1108.1769525798532,999.9898413184526
14,923.6439927105739,1084.6934684229855,1051.2915449079262,1080.8940757373264,1135.2812364873184,1027.0326302341184,955.2089646570662,900.9011549541785,1112.6511775452755,1059.923294993035,1359.0743020169682,1166.2043879392706,1060.7649417845266
15,980.3976850061186,1096.7219397527222,1086.9884618738704,1054.6929096152846,1107.304498072366,1057.9920613442355,937.4946889963993,883.769068162687,1139.6939169296081,1094.7050189857641,1326.1066327523745,1163.7522150855445,1094.3056019526991
16,1018.1722030352795,1081.9606145327755,1109.067372403088,1087.8577741184536,1083.0299539630805,1078.186750889614,906.3205392023324,918.9312084403077,1174.742731190863,1103.6714291305402,1331.9290077606308,1148.4003545643018,1040.0045983946143
17,1066.3770474700107,1049.7642469784425,1079.0338827502123,1128.5170577520603,1078.5238267495542,1122.9985375591552,865.4288969107162,903.6977199263019,1216.0201294224164,1119.705564115042,1288.667881465794,1179.2976037872747,1008.1394486812368
18,1042.6466876774468,1027.8576351182105,1112.911757705155,1086.7066560280539,1090.1407129703582,1155.1395053527576,903.5538473456168,954.1906525122979,1248.5814794195976,1131.3655645816336,1300.4352474002337,1145.7184027206,1031.3683844360921
19,1038.7595599861588,985.2121662443985,1130.0873494408859,1069.6502906264236,1125.6274368250317,1168.7993743868094,918.4945787411453,999.6371610316118,1266.5745931749918,1137.4547951241266,1246.6471576878314,1166.608242330858,1005.0174712914173
20,1048.2601623411224,946.3871866191572,1152.2562937698958,1073.6247470425262,1141.8101142608282,1189.5038432483555,906.2638639391994,984.1571280805133,1217.8617215058919,1127.6578667984352,1254.913333077708,1181.1705754189418,992.4280340801338
21,1060.9492167253368,960.117485897903,1153.7468832478269,1112.0631833832058,1144.4590884116246,1225.1253617648856,892.3218352070163,1029.8549978287938,1208.7179072262325,1110.2381591486983,1274.219001135041,1152.3923179622236,1004.4266024864354
22,1042.2684899015474,963.4657173142738,1127.1488729483021,1071.5154068486086,1139.996997873626,1240.5801426924986,904.937311473941,1044.4070036647008,1164.483419750588,1129.084925650384,1258.1395235898644,1189.69755942057,1027.0540099402972
23,1034.702033984252,1005.1462412484293,1138.1624689828345,1093.4917716728469,1111.612763464775,1238.2601327459922,883.5264332914642,1051.6530713901816,1160.9569377258722,1093.2252557062197,1265.3550146843747,1179.1077906156127,1038.9063998280621
24,1005.1762206989893,992.0347546629544,1101.003312795578,1108.7419194732176,1140.244236144766,1198.451890240474,896.1300197965414,1078.4393237874897,1187.530619830316,1063.6383941842478,1232.9574670589166,1195.4955219793897,1049.4106828963295
25,979.268377842354,1008.0288556681604,1108.8660040848806,1129.1797787736598,1150.4873217467034,1211.577714453058,933.2035959336324,1047.2794607711658,1178.375422453944,1042.8004440642278,1195.7263459747287,1159.8239349615872,1059.1848343395498
26,987.3139010686685,983.3416178245025,1085.1871071152057,1110.5749553956032,1127.0080925193172,1189.5428898127425,907.1734773874988,1019.4646673200743,1154.9745912685344,1070.6122712836145,1164.0713915480055,1128.0911137208523,1074.2495272920944
27,1020.3126873557784,987.5898999664632,1112.4262095448644,1102.641989271721,1096.3965542184706,1186.6234399075265,932.1216994834393,1023.9233597459055,1129.5914363664613,1040.1939175734944,1168.651572170464,1115.592733773753,1093.359197927199
28,1041.9108942970659,964.1971907212488,1119.3955081876707,1116.4841387620154,1104.680706467265,1175.641790935838,929.07494206907,1042.630775457356,1120.2704664757891,1031.9930733858926,1182.4588159088244,1137.1812582701336,1103.2696398966052
29,1040.643596448925,990.7995488677129,1094.411325229223,1102.06034500302,1091.15290666198,1185.7491206314169,934.9892511181021,1059.9589924510688,1102.4775541928989,1010.2648910656972,1173.317544636224,1144.5294314942303,1096.3075338485178
30,1015.8701370427408,964.0473038859419,1072.7192379081212,1124.3519421058202,1096.32498084424,1156.1511453960595,950.0029618116594,1034.3987747168603,1103.8534268442731,1013.5566714750901,1195.3743249896258,1138.2351622065594,1069.8624161644236
31,1039.419294675336,962.2901286500971,1070.313963512775,1099.5731077287655,1119.2955487452869,1170.7562738179824,932.069727389344,1047.9928868770103,1093.6373855279744,1025.546899361263,1217.1833349650844,1149.1381623243135,1085.134981290966
